series;frame_idx;beetle_idx;stage
seria_3;119;4;stage1
seria_3;123;5;stage1
seria_3;168;15;stage1
seria_3;45;6;stage1
seria_3;49;5;stage1
seria_3;100;12;stage1
seria_3;122;3;stage1
seria_3;127;15;stage1
seria_3;140;13;stage1
seria_3;143;5;stage1
seria_3;10;6;stage1
seria_3;51;1;stage1
seria_3;52;1;stage1
seria_3;53;1;stage1
seria_3;53;8;stage1
seria_3;54;1;stage1
seria_3;55;1;stage1
seria_3;56;1;stage1
seria_3;57;1;stage1
seria_3;58;1;stage1
seria_3;59;9;stage1
seria_3;61;1;stage1
seria_3;62;2;stage1
seria_3;98;1;stage1
seria_3;99;11;stage1
seria_3;99;2;stage1
seria_3;100;9;stage1
seria_3;101;10;stage1
seria_3;102;3;stage1
seria_3;111;14;stage1
seria_3;112;14;stage1
seria_3;118;5;stage1
seria_3;124;12;stage1
seria_3;125;12;stage1
seria_3;126;9;stage1
seria_3;127;1;stage1
seria_3;127;9;stage1
seria_3;128;1;stage1
seria_3;128;6;stage1
seria_3;129;6;stage1
seria_3;136;9;stage1
seria_3;137;11;stage1
seria_3;138;11;stage1
seria_3;138;13;stage1
seria_3;139;11;stage1
seria_3;140;9;stage1
seria_3;141;8;stage1
seria_3;145;8;stage1
seria_3;146;8;stage1
seria_3;147;8;stage1
seria_3;148;9;stage1
seria_3;149;8;stage1
seria_3;150;8;stage1
seria_3;151;7;stage1
seria_3;152;6;stage1
seria_3;163;14;stage1
seria_3;163;8;stage1
seria_3;167;9;stage1
seria_3;173;11;stage1
seria_3;173;7;stage1
seria_3;174;11;stage1
seria_3;175;12;stage1
seria_3;182;7;stage1
seria_3;6;9;stage1
seria_3;14;13;stage1
seria_3;28;4;stage1
seria_3;32;1;stage1
seria_3;59;1;stage1
seria_3;77;6;stage1
seria_3;173;8;stage1
seria_3;8;7;stage1
seria_3;13;8;stage1
seria_3;32;8;stage1
seria_3;34;14;stage1
seria_3;43;3;stage1
seria_3;44;6;stage1
seria_3;45;1;stage1
seria_3;46;3;stage1
seria_3;50;2;stage1
seria_3;55;10;stage1
seria_3;56;8;stage1
seria_3;60;1;stage1
seria_3;60;8;stage1
seria_3;65;4;stage1
seria_3;67;9;stage1
seria_3;72;1;stage1
seria_3;116;15;stage1
seria_3;142;10;stage1
seria_3;161;7;stage1
seria_3;161;8;stage1
seria_3;178;10;stage1
seria_3;183;11;stage1
seria_3;1;5;stage1
seria_3;7;11;stage1
seria_3;19;2;stage1
seria_3;19;4;stage1
seria_3;26;15;stage1
seria_3;27;5;stage1
seria_3;54;7;stage1
seria_3;110;3;stage1
seria_3;113;1;stage1
seria_3;114;2;stage1
seria_3;115;2;stage1
seria_3;120;3;stage1
seria_3;122;2;stage1
seria_3;124;18;stage1
seria_3;125;11;stage1
seria_3;127;8;stage1
seria_3;130;18;stage1
seria_3;132;1;stage1
seria_3;135;17;stage1
seria_3;137;1;stage1
seria_3;141;12;stage1
seria_3;156;1;stage1
seria_3;158;1;stage1
seria_3;159;1;stage1
seria_3;163;1;stage1
seria_3;165;1;stage1
seria_3;175;8;stage1
seria_3;178;12;stage1
seria_3;180;17;stage1
seria_3;2;11;stage1
seria_3;14;2;stage1
seria_3;15;4;stage1
seria_3;16;7;stage1
